inter,text
777,"RT @je_saar: #BlackLivesMatter ist die zweite Stufe des UN-Migrationspaktes.

Damit sollen die ""weißen"" westlichen Industriestaaten für die…"
777,"RT @je_saar: @ainyrockstar Gestern noch bei #FridaysForFuture mitgehüpft, heute bei #blacklivesmatter mitgejohlt und morgen schauen wir dan…"
45084,RT @SeverusSnape58: So sieht das Ergebnis des Kampfes gg Rassismus aus.
45084,RT @SeverusSnape58: So sieht das Ergebnis des Kampfes gg Rassismus aus. https://t.co/DU0QNcr5Ss
3112,"RT @VikingRohan: Als vor ein paar Wochen Demos für unsere Grundrechte stattfanden, hieß es noch, dass sei wegen #Corona unverantworlich.
Se…"
3112,"RT @VikingRohan: Die halten aber keine 1,5 m Abstand."
3112,RT @VikingRohan: Soll diese Kindergartengeschichte ein Beweis für den angeblichen #Rassismus in Deutschland sein?! Mehr hast du nicht Luisa…
3112,"RT @VikingRohan: Letztes Jahr war es die #Klimakrise, dann #Corona und jetzt ist es #BlackLivesMatter.
Abwechselnd sind #AfD, #Trump etc. u…"
3112,"RT @VikingRohan: Niemals, nicht in einer Millionen Jahren, werde ich mich dafür entschuldigen oder demütigen weiß zu sein. 
Für mich zählt…"
3112,"RT @VikingRohan: Niemals, nicht in einer Millionen Jahren, werde ich mich dafür entschuldigen oder demütigen weiß zu sein. 
Für mich zählt… RT @VikingRohan: Letztes Jahr war es die #Klimakrise, dann #Corona und jetzt ist es #BlackLivesMatter.
Abwechselnd sind #AfD, #Trump etc. u… RT @VikingRohan: Als vor ein paar Wochen Demos für unsere Grundrechte stattfanden, hieß es noch, dass sei wegen #Corona unverantworlich.
Se…"
3112,"RT @VikingRohan: Letztes Jahr war es die #Klimakrise, dann #Corona und jetzt ist es #BlackLivesMatter.
Abwechselnd sind #AfD, #Trump etc. u… RT @VikingRohan: Als vor ein paar Wochen Demos für unsere Grundrechte stattfanden, hieß es noch, dass sei wegen #Corona unverantworlich.
Se…"
3112,"RT @VikingRohan: Letztes Jahr war es die #Klimakrise, dann #Corona und jetzt ist es #BlackLivesMatter.
Abwechselnd sind #AfD, #Trump etc. u… RT @VikingRohan: Als vor ein paar Wochen Demos für unsere Grundrechte stattfanden, hieß es noch, dass sei wegen #Corona unverantworlich.
Se… RT @VikingRohan: Soll diese Kindergartengeschichte ein Beweis für den angeblichen #Rassismus in Deutschland sein?! Mehr hast du nicht Luisa…"
3112,"RT @VikingRohan: Die halten aber keine 1,5 m Abstand. https://t.co/lTFxeMFaVz"
3112,"RT @VikingRohan: Als vor ein paar Wochen Demos für unsere Grundrechte stattfanden, hieß es noch, dass sei wegen #Corona unverantworlich.
Se… RT @VikingRohan: Diese ganzen #Rassismus und #BlackLivesMatter Demonstrationen beziehen sich auf ganze 1176 Fälle in Deutschland. Wir haben…"
3112,"RT @VikingRohan: Letztes Jahr war es die #Klimakrise, dann #Corona und jetzt ist es #BlackLivesMatter.
Abwechselnd sind #AfD, #Trump etc. u… RT @VikingRohan: Soll diese Kindergartengeschichte ein Beweis für den angeblichen #Rassismus in Deutschland sein?! Mehr hast du nicht Luisa…"
29044,"RT @PeterBorbe: Wer hätte sich vor 2 oder 3 Jahren träumen lassen, daß wir in westlichen Ländern bald einen rasenden Mob haben werden, der…"
29044,"RT @PeterBorbe: Ich gebe ehrlich zu, ich bin kein Fan von diesem ""#Corona hat uns die #Bürgerrechte genommen"" und den damit verbundenen Dem…"
2417,"RT @EmmaKoechner: Jeder, der sich heute nicht an #BlackLivesMatter-Protesten beteiligt, ist ein Rassist.

Ich lasse #Corona nicht als Ausre…"
2417,"RT @EmmaKoechner: Gut so! Die ständige Massentötung von Menschen of Color durch die Polizei Wien ist eines der größten Probleme in Europa,…"
2417,"RT @EmmaKoechner: Wer sich wegen #Corona gegen #BlackLivesMatter-Proteste in Deutschland und Europa ausspricht, ist ein Rassist!

Corona is…"
2417,RT @EmmaKoechner: Diese Demos sind in Zeiten von #Corona richtig und wichtig! Wir müssen zusammen auf die Straße und gegen den weißen deuts…
2417,"RT @EmmaKoechner: Gut so! Die ständige Massentötung von Menschen of Color durch die Polizei Wien ist eines der größten Probleme in Europa,… RT @EmmaKoechner: Jeder, der sich heute nicht an #BlackLivesMatter-Protesten beteiligt, ist ein Rassist.

Ich lasse #Corona nicht als Ausre…"
38760,"RT @Daniel_Roi_AfD: #Blacklivesmatter im #Landtag, #Linke tragen #Masken gegen #Rassismus, #Grüne fragen zu den Rassismusprotesten. Wir eri…"
31920,"RT @BlondJedi: Bunte #BlackLivesMatter in #Stuttgart:
☻ 200 Personen belagern Polizeirevier
☻Beleidigen Polizisten
☻Hämmern gegen die Türen…"
44817,"RT @AlexE1789: Jetzt weiß ich es☝🏻 
das ist ein Satire-Account ⤵️🤓"
44817,"RT @AlexE1789: Jetzt weiß ich es☝🏻 
das ist ein Satire-Account ⤵️🤓 https://t.co/KPz3E24ttc"
40366,"RT @Fuchsmariechen: Ich würde am liebsten das Hygienekonzept des Kindergartens und der Grundschule danebenstellen. Hauptsache, die Kinder w…"
