inter,text
19548,RT @LBCNews: A group of protestors have climbed aboard a skip truck outside Parliament shouting #BlackLivesMatter. Read more: https://t.co/…
19548,"RT @LBCNews: New York police boss says the force feels ""abandoned"" by politicians and ""vilified"" by the press - and asks people to stop tre… RT @LBCNews: New York police boss Mike O'Meara lifted his badge as told reporters: ""This isn't stained by someone in Minneapolis."" He said…"
19548,"RT @LBCNews: New York police boss Mike O'Meara lifted his badge as told reporters: ""This isn't stained by someone in Minneapolis."" He said…"
19548,RT @Carole84380005: @LBCNews Dulwich College south London Winchester College Hampshire turn down £1million scholarship donation for white b…
19548,RT @LBCNews: Hyde Park crowds chant “George Floyd” and “Belly Mujinga” as London’s #BlackLivesMatter protest begins. Campaigners are urging…
19548,"RT @LBCNews: This is the moment the toppled statue of Edward Colston was thrown into Bristol Harbour by #BlackLivesMatter protesters

Read…"
19548,"RT @LBCNews: Hundreds of people are gathered in Hyde Park for the latest #BlackLivesMatter protest, in response to the death of George Floy…"
19548,RT @LBCNews: Campaigners at Oxford University have revived calls to remove a controversial statue of imperialist Cecil Rhodes from one of i…
19548,RT @LBCNews: Protesters head down the Hollywood walk of fame in Los Angeles as #BlackLivesMatter protests continue https://t.co/pGHtwyhsXZ
19548,"RT @LBCNews: Sir Keir Starmer says Barry Gardiner was wrong to attend the #BlackLivesMatter protest in London. ""MPs should lead by example…"
18775,"RT @CharleyyV: Powerful stuff from #Banksy. 

Just incredible. 👏🏻

#BlackLivesMatter https://t.co/Q27hbTxLdF"
45084,RT @SeverusSnape58: So sieht das Ergebnis des Kampfes gg Rassismus aus.
45084,RT @SeverusSnape58: So sieht das Ergebnis des Kampfes gg Rassismus aus. https://t.co/DU0QNcr5Ss
3112,"RT @VikingRohan: Als vor ein paar Wochen Demos für unsere Grundrechte stattfanden, hieß es noch, dass sei wegen #Corona unverantworlich.
Se…"
3112,"RT @VikingRohan: Die halten aber keine 1,5 m Abstand."
3112,RT @VikingRohan: Soll diese Kindergartengeschichte ein Beweis für den angeblichen #Rassismus in Deutschland sein?! Mehr hast du nicht Luisa…
3112,"RT @VikingRohan: Letztes Jahr war es die #Klimakrise, dann #Corona und jetzt ist es #BlackLivesMatter.
Abwechselnd sind #AfD, #Trump etc. u…"
3112,"RT @VikingRohan: Niemals, nicht in einer Millionen Jahren, werde ich mich dafür entschuldigen oder demütigen weiß zu sein. 
Für mich zählt…"
3112,"RT @VikingRohan: Niemals, nicht in einer Millionen Jahren, werde ich mich dafür entschuldigen oder demütigen weiß zu sein. 
Für mich zählt… RT @VikingRohan: Letztes Jahr war es die #Klimakrise, dann #Corona und jetzt ist es #BlackLivesMatter.
Abwechselnd sind #AfD, #Trump etc. u… RT @VikingRohan: Als vor ein paar Wochen Demos für unsere Grundrechte stattfanden, hieß es noch, dass sei wegen #Corona unverantworlich.
Se…"
3112,"RT @VikingRohan: Letztes Jahr war es die #Klimakrise, dann #Corona und jetzt ist es #BlackLivesMatter.
Abwechselnd sind #AfD, #Trump etc. u… RT @VikingRohan: Als vor ein paar Wochen Demos für unsere Grundrechte stattfanden, hieß es noch, dass sei wegen #Corona unverantworlich.
Se…"
3112,"RT @VikingRohan: Letztes Jahr war es die #Klimakrise, dann #Corona und jetzt ist es #BlackLivesMatter.
Abwechselnd sind #AfD, #Trump etc. u… RT @VikingRohan: Als vor ein paar Wochen Demos für unsere Grundrechte stattfanden, hieß es noch, dass sei wegen #Corona unverantworlich.
Se… RT @VikingRohan: Soll diese Kindergartengeschichte ein Beweis für den angeblichen #Rassismus in Deutschland sein?! Mehr hast du nicht Luisa…"
3112,"RT @VikingRohan: Die halten aber keine 1,5 m Abstand. https://t.co/lTFxeMFaVz"
3112,"RT @VikingRohan: Als vor ein paar Wochen Demos für unsere Grundrechte stattfanden, hieß es noch, dass sei wegen #Corona unverantworlich.
Se… RT @VikingRohan: Diese ganzen #Rassismus und #BlackLivesMatter Demonstrationen beziehen sich auf ganze 1176 Fälle in Deutschland. Wir haben…"
3112,"RT @VikingRohan: Letztes Jahr war es die #Klimakrise, dann #Corona und jetzt ist es #BlackLivesMatter.
Abwechselnd sind #AfD, #Trump etc. u… RT @VikingRohan: Soll diese Kindergartengeschichte ein Beweis für den angeblichen #Rassismus in Deutschland sein?! Mehr hast du nicht Luisa…"
13552,RT @somersetlevel: Is this the same PG Tips that is owned by Unilever who sell skin whitening creams?
13552,RT @somersetlevel: More faces than the town hall clock 👇
13552,RT @somersetlevel: Is this the same PG Tips that is owned by Unilever who sell skin whitening creams? https://t.co/J53yFJmeZb
13552,RT @somersetlevel: More faces than the town hall clock 👇 https://t.co/aISh4Wu6wC
13552,RT @somersetlevel: Stunning partisanship on display here ...... https://t.co/3kWRaDHSL6 RT @somersetlevel: More faces than the town hall clock 👇
13552,RT @somersetlevel: Stunning partisanship on display here ...... https://t.co/3kWRaDHSL6
13552,RT @somersetlevel: Stunning partisanship on display here ......
